0,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
17,2011,Confirmed,Asfandyar Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Akhbar-e-Khyber,Print Reporter,"Crime,Politics",Print,Pakistan,Peshawar,,,Peshawar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Asfandyar Khan, a reporter for the newspaperAkhbar-e-Khyber, died in a double bombing that took the lives of more thanthree dozen people. Shafiullah Khan, a trainee reporter at the daily The News,died six days later from extensive burns and shrapnel wounds suffered in theattack. Seven other journalists were injured.","Peshawar, Pakistan",34.0123846,71.5787458,34.0123846,71.5787458
18,2008,Confirmed,Ashok Sodhi,,India,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/ashok_sodhi_india_2008.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,Daily Excelsior,Photographer,,Print,India,Samba,,,Samba,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Sodhi, a senior photographer with the local English-language Daily Excelsior in Indian-controlled Kashmir, was killed in crossfire in Samba, close to the border with Pakistan, according to news reports.","Samba, India",32.57591175,75.12034456,32.57591175,75.12034456
19,2004,Confirmed,Asiya Jeelani,,India,,,Female,,,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Print Reporter,Human Rights,Print,India,Kashmir,,,Kashmir,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Jeelani died en route to the hospital after a van carrying an electionsmonitoring team detonated an explosive device on a rural road in northernKashmir. Jeelani was a freelance journalist who contributed to local newspapers,and a human rights activist who worked with several nongovernmentalorganizations. Local sources said she was helping a local umbrellaorganization, the Coalition of Civil Society, prepare an account ofits monitoring activity, and may have been reporting on the electionherself. The driver of the van was also killed in the blast. After the explosion,the coalition called off its monitoring activities, citing the dangerinvolved.","Kashmir, India",26.2644203,71.6027498,26.2644203,71.6027498
20,2013,Confirmed,Aslam Durrani,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Daily Pakistan,Editor,Politics,Print,Pakistan,Peshawar,,,Peshawar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Durrani, 55, news editor of the Urdu-language DailyPakistan, was killed in a suicide bomb attack during a political rally forthe Awami National Party in the northwestern provincial capital of Peshawar,according to news reports. His death was confirmed to CPJ by a staff member atthe Lahore offices of the paper by phone. News reports also identified him as Tariq Aslam Durrani.","Peshawar, Pakistan",34.0123846,71.5787458,34.0123846,71.5787458
21,2015,Confirmed,Avijit Roy,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/avijit.roy.ap.jpg,AP,Journalist,,Murder,Killed,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Dhaka,,,Dhaka,,Foreign,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"On February 26, 2015, two unidentified men approached Avijit Roy and his wife, Rafida Ahmed Bonna, as they were leaving a book fair in the Dhaka University campus area, according to Bonna and witnesses, the Dhaka Tribune reported. The assailants stabbed and hacked at them with sharp weapons and fled the scene, news reports said. Roy and Bonna were taken to a local hospital, where Roy was pronounced dead, according to news reports. Bonna was critically wounded.","Dhaka, Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
22,2013,Confirmed,Ayub Khattak,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Karak Times,Print Reporter,Crime,Print,Pakistan,Karak District,,,Karak District,,Local,Criminal Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"Khattak, a reporter for the Karak Times in Khyber Pakhtunkhwa’s southern Karak district, was shot dead outside his home, according to news reports and the Freedom Network, a Pakistani press freedom watchdog organization. Eyewitness accounts said two unidentified assailants riding a motorcycle waited outside Khattak’s home, fired at him when he appeared, and then fled the scene, the reports said.","Karak District, Pakistan",33.1027412,71.0667361,33.1027412,71.0667361
23,2010,Confirmed,Azamat Ali Bangash,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Samaa TV,"Broadcast Reporter,Internet Reporter",,Television,Pakistan,Orakzai,,,Orakzai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Bangash, 34, a cameraman and correspondent, was killed in a suicide bombing while covering food distribution in a refugee camp near Orakzai, in the Federally Administered Tribal Areas near the border with Afghanistan. He was the second Samaa journalist killed in a suicide bombing in two days.","Orakzai, Pakistan",33.666667,71,33.666667,71
24,2004,Confirmed,Bala Nadarajah Iyer,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,Thinamurasu and Thinakaran,Print Reporter,"Human Rights,Politics",Print,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Iyer, a journalist, writer, and political activist with the oppositionTamil group the Eelam People’s Democratic Party (EPDP), was shot andkilled by unidentified assailants in the capital, Colombo.","Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
25,1993,Confirmed,Bhola Nath Masoom,,India,,,Male,,,Journalist,,Murder,Killed,Freelance,Hind Samachar,Print Reporter,"Business,Culture,Politics",Print,India,Rajpura,,,Rajpura,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Masoom, a stringer for Hind Samachar and president of the Punjab and Chandigarh Journalist’s Council, was shot by two suspected militants near his home in the town of Rajpura. He died the same day.","Rajpura, India",30.4776857,76.5937658,30.4776857,76.5937658
26,2007,Confirmed,Birendra Shah,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,"Nepal FM, Dristi Weekly, and Avenues TV","Broadcast Reporter,Print Reporter",Crime,"Print,Radio,Television",Nepal,Bara district,,,Bara district,,Local,Political Group,Confirmed,,,Partial Impunity,No,Yes,Yes,,,,,,,,,,"Shah was kidnapped on October 4 by members of the Communist Party of Nepal (Maoist) in central Nepal’s Bara district. Maoist leaders issued a statement on November 5, saying that Shah had been murdered by members of their party on the day of the kidnapping, according to Guna Raj Luitel, news editor of Kantipur Daily.","Bara district, Nepal",27.03174345,85.01224003,27.03174345,85.01224003
27,2021,Confirmed,Borhan Uddin Muzakkir,,Bangladesh,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,"Barta Bazar,Bangladesh Samachar","Internet Reporter,Print Reporter","Crime,Politics","Print,Internet",Bangladesh,Companiganj,,Noakhali,Companiganj,,Local,"Political Group,Government Officials",Confirmed,,No,,,,,,,,,,,,,,"On February 19, 2021, Borhan Uddin Muzakkir, a Bangladeshi reporter for the news website Barta Bazar and the newspaper Bangladesh Samachar, was shot in the throat while covering clashes in the street between two factions of the ruling Awami League party, in the Companiganj area of southern Noakhali district, according to news reports.","Companiganj, Bangladesh",23.6375741,90.971007,23.6375741,90.971007
28,2018,Confirmed,Chandan Tiwari,,India,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Aj Newspaper,Print Reporter,"Corruption,Crime,Politics",Print,India,Chatra,,Jharkhand,Chatra,,Local,"Criminal Group,Local Residents",Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"Chandan Tiwari, a local reporter with Hindi daily Aj in Jharkhand’s Chatra district, was abducted and badly beaten on October 29, 2018. Police said the reporter was found injured in a forest about 175 miles from Pathalgada, in Jharkhand.  He succumbed to his injuries the next day, according to NDTV. Jharkhand police identified four people–Maoist area commander Prasant, Pintu Singh, Jamuna Prasad, and Musafir Rana–as suspects who abducted and killed the journalist. Police arrested Prasant, Prasad, and Rana, but Singh remained free as of December 2018. The First Information Report filed by the police–which has been reviewed by CPJ–names all four suspects. Local reporters told CPJ that Maoists run a criminal network in the area, and that Singh is part of this network.","Chatra, India",24.20162495,84.87817692,24.20162495,84.87817692
29,2021,Confirmed,Chennakeshavalu,,,,,,,,Journalist,Killed,Murder,Killed,Staff,EV5,Broadcast Reporter,"Corruption,Crime,Politics",Television,India,Andhra Pradesh,,Andhra Pradesh,,,Local,"Local Residents,Government Officials",Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"On August 8, 2021, in the Kurnool district of the southeastern Indian state of Andhra Pradesh, two men stabbed Chennakeshavalu, a reporter with the privately owned news channel EV5, according to news reports.","Andhra Pradesh, India",15.9240905,80.1863809,15.9240905,80.1863809
30,2008,Confirmed,Chishti Mujahid,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Akbar-e-Jehan,"Columnist/Commentator,Photographer","Corruption,Politics,War",Print,Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"An unidentified assailant shot Mujahid, a veteran columnistand photographer, in the head and chest as he left his house, according to thePakistan Federal Union of Journalists and local news reports. A spokesman forthe banned insurgent group the Baluch Liberation Army claimed responsibilityfor the murder in a phone call to the Quetta Press Club, saying Mujahid was“against” the Baluch cause, local news reports said.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
31,2002,Confirmed,Daniel Pearl,,USA,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/daniel_pearl_pakistan_2002.jpg,,Journalist,,Murder,Killed,Staff,The Wall Street Journal,Print Reporter,Politics,Print,Pakistan,Karachi,,,Karachi,,Foreign,Political Group,Confirmed,,,Partial Impunity,Yes,Yes,No,,,,,,,,,,"U.S. government officials confirmed on February 21, 2002, that Pearl, kidnapped South Asia correspondent for The Wall Street Journal, had been killed by his captors.","Karachi, Pakistan",24.8546842,67.0207055,24.8546842,67.0207055
32,2004,Confirmed,Dekendra Raj Thapa,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Nepal,Broadcast Reporter,"Human Rights,Politics",Radio,Nepal,Dailekh,,,Dailekh,,Local,Political Group,Confirmed,,,Partial Impunity,No,Yes,No,,,,,,,,,,"In August 2004, rebels in midwestern Nepal’s Dailekh District claimed to have killed Dekendra Raj Thapa, a journalist for state-run Radio Nepal and head of a local drinking water project. Local sources told CPJ that Thapa’s killing was connected to his work as a journalist.","Dailekh, Nepal",28.88506455,81.69971653,28.88506455,81.69971653
33,2003,Confirmed,Dhan Bahadur Rokka Magar,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Nepal,Broadcast Reporter,,Radio,Nepal,Jaluki,,,Jaluki,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Rokka Magar, a newsreader for the Kham Magar­language service of RadioNepal, was abducted by Maoist rebels on August 1, 2002, while travelingby bus to the town of Surkhet, where he worked. Rebels intercepted thebus near Jaluki, a Maoist-controlled village near the borders ofWestern Rolpa and Pyuthan districts, and kidnapped several passengers,including Rokka Magar and a representative from the British charityGurkha Welfare Trust.","Jaluki, Nepal",25.6483972,93.6689432,25.6483972,93.6689432
34,2005,Confirmed,Dharmeratnam Sivaram,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,TamilNet and Daily Mirror,Columnist/Commentator,"Politics,War","Print,Internet",Sri Lanka,Colombo,,,Colombo,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,Sivaram was abducted on the night of April 28 and found dead the next morning from gunshot wounds to the head.,"Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
35,1993,Confirmed,Dinesh Pathak,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Sandesh,Editor,"Corruption,Politics",Print,India,Baroda,,,Baroda,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"Pathak, a resident editor of Sandesh newspaper in Baroda, was stabbed to death by a group of assailants while entering the newspaper’s office. About six months earlier, during the November Navratri festival in Gujarat, Raju Risaldar, chief of Shiv Sena, a Hindu nationalist political organization, publicly threatened to kill Pathak. Pathak had written articles criticizing the Hindu nationalist party. After Pathak’s murder, Risaldar was killed during a scuffle with police.","Baroda, India",22.2973142,73.1942567,22.2973142,73.1942567
36,2012,Confirmed,Dwijamani Singh,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Prime News,"Broadcast Reporter,Camera Operator",Politics,Television,India,Imphal,,,Imphal,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"Singh was shot dead by police while he was covering a protest in Imphal, the capital of Manipur state. The cameraman, 36, worked for the news division of the satellite-distributed Prime News channel that covers northeast India. News reports initially identified Singh using different spellings of his name.","Imphal, India",24.7991162,93.9364419,24.7991162,93.9364419
37,2010,Confirmed,Ejaz Raisani,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Samaa TV,Camera Operator,Politics,Television,Pakistan,Quetta,,,Quetta,,Local,"Criminal Group, Mob Violence",Confirmed,,,,,,,,,,,,,,,,"Raisani, a cameraman, died in a military hospital of gunshotwounds he suffered three days earlier while covering a rally that turnedviolent in Quetta, according to local and international news reports.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
38,2010,Confirmed,Ejazul Haq,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,City-42 TV,"Broadcast Reporter,Technician",War,Television,Pakistan,Lahore,,,Lahore,,Local,,Confirmed,,,,,,,,,,,,,,,,"Haq, 42, a technician for the local Lahore cable stationCity-42 TV, was killed while working at the scene of an armed attack on aMuslim minority Ahmadi mosque, according to news accounts and CPJ interviews.","Lahore, Pakistan",31.5656822,74.3141829,31.5656822,74.3141829
39,2015,Confirmed,Faisal Arefin Dipan,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Jagriti Prokashoni,Publisher/Owner,,Print,Bangladesh,Dhaka ,,,Dhaka ,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"On October 31, 2015, a group of men stabbed Faisal Arefin Dipan, a publisher, to death at the offices of Jagriti Prokashoniin the capital, Dhaka, and then fled the scene, according to news reports. An autopsy report showed the publisher’s body had multiple stab wounds, according to reports.","Dhaka , Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
40,2011,Confirmed,Faisal Qureshi,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,The London Post,"Editor,Internet Reporter",Politics,Internet,Pakistan,Lahore,,,Lahore,,Local,Political Group,Confirmed,,,Complete Impunity,Yes,No,Yes,,,,,,,,,,"The body of Qureshi, 31, an editor for the political newswebsite The London Post, was discovered about 2 a.m. by his brother Zahid afterfamily members found blood stains outside the journalist’s house, the Pakistanidaily The Express Tribune reported. Police reports said Qureshi’s throat hadbeen cut and described his body as showing signs of torture, The ExpressTribune said.","Lahore, Pakistan",31.5656822,74.3141829,31.5656822,74.3141829
41,2003,Confirmed,Fazal Wahab,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,freelance,"Columnist/Commentator,Print Reporter",Politics,Print,Pakistan,Mingora,,,Mingora,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Wahab, a freelance writer, was shot by unidentified gunmenas he sat in a roadside shop in Manglawar Bazaar, near the resort town ofMingora in northwestern Pakistan. The shopkeeper and his young assistant alsodied in the attack.","Mingora, Pakistan",34.7681309,72.3684619,34.7681309,72.3684619
42,1997,Confirmed,G. Raja Sekhar,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Technician,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Raja Sekhar, an assistant for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TVcameraman; and Srinivas Rao and S. Krishna, assistant cameramen for E-TV, were killed in a car bomb explosionwhile covering the making of a film.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
