"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2004","Confirmed","Asiya Jeelani",,"India",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Print Reporter","Human Rights","Print","India","Kashmir",,,"Kashmir",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Aslam Durrani",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Daily Pakistan","Editor","Politics","Print","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Avijit Roy",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/avijit.roy.ap.jpg","AP","Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet","Bangladesh","Dhaka",,,"Dhaka",,"Foreign","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2013","Confirmed","Ayub Khattak",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Karak Times","Print Reporter","Crime","Print","Pakistan","Karak District",,,"Karak District",,"Local","Criminal Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2010","Confirmed","Azamat Ali Bangash",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Broadcast Reporter,Internet Reporter",,"Television","Pakistan","Orakzai",,,"Orakzai",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Bala Nadarajah Iyer",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Thinamurasu and Thinakaran","Print Reporter","Human Rights,Politics","Print","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1993","Confirmed","Bhola Nath Masoom",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Hind Samachar","Print Reporter","Business,Culture,Politics","Print","India","Rajpura",,,"Rajpura",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Birendra Shah",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Nepal FM, Dristi Weekly, and Avenues TV","Broadcast Reporter,Print Reporter","Crime","Print,Radio,Television","Nepal","Bara district",,,"Bara district",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","Yes","Yes",,,,,,,,,
"2021","Confirmed","Borhan Uddin Muzakkir",,"Bangladesh",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Barta Bazar,Bangladesh Samachar","Internet Reporter,Print Reporter","Crime,Politics","Print,Internet","Bangladesh","Companiganj",,"Noakhali","Companiganj",,"Local","Political Group,Government Officials","Confirmed",,"No",,,,,,,,,,,,,
"2018","Confirmed","Chandan Tiwari",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Aj Newspaper","Print Reporter","Corruption,Crime,Politics","Print","India","Chatra",,"Jharkhand","Chatra",,"Local","Criminal Group,Local Residents","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"2021","Confirmed","Chennakeshavalu",,,,,,,,"Journalist","Killed","Murder","Killed","Staff","EV5","Broadcast Reporter","Corruption,Crime,Politics","Television","India","Andhra Pradesh",,"Andhra Pradesh",,,"Local","Local Residents,Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Chishti Mujahid",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Akbar-e-Jehan","Columnist/Commentator,Photographer","Corruption,Politics,War","Print","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2002","Confirmed","Daniel Pearl",,"USA",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/daniel_pearl_pakistan_2002.jpg",,"Journalist",,"Murder","Killed","Staff","The Wall Street Journal","Print Reporter","Politics","Print","Pakistan","Karachi",,,"Karachi",,"Foreign","Political Group","Confirmed",,,"Partial Impunity","Yes","Yes","No",,,,,,,,,
"2004","Confirmed","Dekendra Raj Thapa",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Nepal","Broadcast Reporter","Human Rights,Politics","Radio","Nepal","Dailekh",,,"Dailekh",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","Yes","No",,,,,,,,,
"2003","Confirmed","Dhan Bahadur Rokka Magar",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Nepal","Broadcast Reporter",,"Radio","Nepal","Jaluki",,,"Jaluki",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2005","Confirmed","Dharmeratnam Sivaram",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","TamilNet and Daily Mirror","Columnist/Commentator","Politics,War","Print,Internet","Sri Lanka","Colombo",,,"Colombo",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","Yes","Yes",,,,,,,,,
"1993","Confirmed","Dinesh Pathak",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Sandesh","Editor","Corruption,Politics","Print","India","Baroda",,,"Baroda",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Dwijamani Singh",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Prime News","Broadcast Reporter,Camera Operator","Politics","Television","India","Imphal",,,"Imphal",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Ejaz Raisani",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Camera Operator","Politics","Television","Pakistan","Quetta",,,"Quetta",,"Local","Criminal Group, Mob Violence","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Ejazul Haq",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","City-42 TV","Broadcast Reporter,Technician","War","Television","Pakistan","Lahore",,,"Lahore",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Faisal Arefin Dipan",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Jagriti Prokashoni","Publisher/Owner",,"Print","Bangladesh","Dhaka ",,,"Dhaka ",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Faisal Qureshi",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","The London Post","Editor,Internet Reporter","Politics","Internet","Pakistan","Lahore",,,"Lahore",,"Local","Political Group","Confirmed",,,"Complete Impunity","Yes","No","Yes",,,,,,,,,
"2003","Confirmed","Fazal Wahab",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","freelance","Columnist/Commentator,Print Reporter","Politics","Print","Pakistan","Mingora",,,"Mingora",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1997","Confirmed","G. Raja Sekhar",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Technician","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Gauri Lankesh",,"India",,,"Female","https://cpj-photos.s3.amazonaws.com/AFP-Lankesh-1-2017-09-07-1504816619926.jpg","(AFP/Punit Paranjpe)","Journalist","Killed","Murder","Killed","Staff","Gauri Lankesh Patrike","Publisher/Owner,Columnist/Commentator","Corruption,Human Rights,Politics","Print,Internet","India","Bangalore",,"Karnataka","Bangalore",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2005","Confirmed","Gautam Das",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Samakal","Print Reporter","Corruption,Crime,Politics","Print","Bangladesh","Faridpur",,,"Faridpur",,"Local","Government Officials","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"1994","Confirmed","Ghulam Muhammad Lone",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelancer","Print Reporter","Human Rights,Politics","Print","India","Kangan",,,"Kangan",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2014","Confirmed","Ghulam Rasool",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Online International News Network","Print Reporter","Crime,Culture,Politics","Print","Pakistan","Quetta",,,"Quetta",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2010","Confirmed","Ghulam Rasool Birhamani",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Daily Sindhu Hyderabad","Print Reporter","Culture","Print","Pakistan","Wahi Pandhi",,,"Wahi Pandhi",,"Local","Mob Violence","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"1996","Confirmed","Ghulam Rasool Sheikh",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Rehnuma-e-Kashmir and Saffron Times","Editor","Human Rights","Print","India","Pampore, Kashmir",,,"Pampore, Kashmir",,"Local","Paramilitary Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2003","Confirmed","Gyanendra Khadka",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Rastriya Samachar Samiti","Print Reporter",,"Print","Nepal","Jyamire, Sindhupalchowk",,,"Jyamire, Sindhupalchowk",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2002","Confirmed","Harunur Rashid",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Dainik Purbanchal","Print Reporter","Corruption,Crime","Print","Bangladesh","Khulna",,,"Khulna",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2006","Confirmed","Hayatullah Khan",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/hayatullah_khan_pakistan_2006.jpg","","Journalist",,"Murder","Killed","Freelance","freelance","Photographer","Corruption,War","Print","Pakistan","Miran Shah",,,"Miran Shah",,"Local","Military Officials","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"2004","Confirmed","Humayun Kabir",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Janmabhumi","Editor","Corruption,Crime","Print","Bangladesh","Khulna",,,"Khulna",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2020","Confirmed","Iliyas Hossain",,"Bangladesh",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Dainik Bijoy","Print Reporter","Corruption,Crime","Print","Bangladesh","Bandar",,"Narayanganj","Bandar",,"Local","Criminal Group,Local Residents","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2013","Confirmed","Imran Shaikh",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Camera Operator","Crime,Human Rights,Politics","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1999","Confirmed","Indika Pathinivasan",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Maharaja Television Network","Technician","Politics","Television","Sri Lanka","Colombo",,,"Colombo",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Irshad Mastoi",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Online International News Network, ARY News","Editor,Print Reporter","Human Rights,Politics,War","Print,Television","Pakistan","Quetta",,,"Quetta",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Isaivizhi Chempiyan",,"Sri Lanka",,,"Female",,,"Journalist",,"Crossfire","Killed","Staff","Voice of Tigers","Broadcast Reporter","War","Radio","Sri Lanka","Kilinochchi",,,"Kilinochchi",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"1997","Confirmed","Jagadish Babu",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Producer","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Jagendra Singh",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/jagendra%252520singh%252520ap.jpg","AP","Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter","Corruption,Crime,Politics","Print,Internet","India","Shahjahanpur district, Uttar Pradesh",,,"Shahjahanpur district, Uttar Pradesh",,"Local","Government Officials","Confirmed",,,"Complete Impunity","Yes","No","No",,,,,,,,,
"2012","Confirmed","Jamal Uddin",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Gramer Kagoj","Print Reporter","Crime","Print","Bangladesh","Kashipur",,,"Kashipur",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2009","Confirmed","Janullah Hashimzada",,,,,"Male",,,"Journalist",,"Murder","Killed","Freelance","freelance","Broadcast Reporter","Politics,War","Television","Pakistan","Jamrud",,,"Jamrud",,"Foreign","Military Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2008","Confirmed","Javed Ahmed Mir",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Channel 9","Camera Operator","Politics","Television","India","Srinagar",,,"Srinagar",,"Local","Paramilitary Group","Confirmed",,,,,,,,,,,,,,,
"2007","Confirmed","Javed Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Markaz and DM Digital TV","Photographer","Politics","Print,Television,Internet","Pakistan","Islamabad",,,"Islamabad",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2011","Confirmed","Javed Naseer Rind",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Daily Tawar","Columnist/Commentator,Editor,Print Reporter","Crime,Human Rights,Politics","Print","Pakistan","Khuzdar",,,"Khuzdar",,"Local",,"Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"2011","Confirmed","Jyotirmoy Dey",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Midday","Print Reporter","Corruption","Print","India","Powai",,,"Powai",,"Local","Criminal Group","Confirmed",,,"Full Justice","No","No","No",,,,,,,,,
"2004","Confirmed","Kamal Hossain",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Ajker Kagoj","Print Reporter","Crime","Print","Bangladesh","Manikcchari ",,,"Manikcchari ",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","Yes","Yes",,,,,,,,,
"2016","Confirmed","Karun Misra",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Jansandesh Times","Print Reporter","Corruption,Crime,Politics","Print","India","Sultanpur, Uttar Pradesh",,,"Sultanpur, Uttar Pradesh",,"Local","Criminal Group, Local Residents","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2004","Confirmed","Lanka Jayasundara",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Wijeya Publications","Print Reporter","Culture,Sports","Print","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Lasantha Wickramatunga",,"Sri Lanka",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/lasantha_wickramatunga.jpg","Courtesy Wickrematunge family","Journalist",,"Murder","Killed","Staff","The Sunday Leader","Editor","Human Rights,Politics,War","Print","Sri Lanka","an area outside Colombo",,,"an area outside Colombo",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1992","Confirmed","M. L. Manchanda",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","All India Radio","Producer","Politics","Radio","India","Patiala",,,"Patiala",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2005","Confirmed","Maheshwar Pahari",,"Nepal",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Rastriya Swabhiman","Print Reporter","Politics,War","Print","Nepal","Pokhara",,,"Pokhara",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Malik Arif",,"Pakistan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Samaa TV","Camera Operator",,"Television","Pakistan","Quetta",,,"Quetta",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Manik Saha",,"Bangladesh",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/maniksaha.bangla.2004.jpg","BBC","Journalist",,"Murder","Killed","Staff","New Age","Print Reporter","Crime,Politics","Print","Bangladesh","Khulna",,,"Khulna",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2021","Confirmed","Manish Kumar Singh",,"India",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Manish-Kumar-Singh.jpeg_3726c9a4-4d8e-4366-b681-a7330703b9ae.jpeg","Suresh Chavhanke","Journalist","Killed","Murder","Killed","Staff","Sudarshan TV","Broadcast Reporter","Corruption,Crime,Politics","Television","India","Bihar",,"Bihar",,,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Mehboob Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Photographer","Politics","Print","Pakistan","Charsadda",,,"Charsadda",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2016","Confirmed","Mehmood Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","DawnNews","Camera Operator","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television,Internet","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2000","Confirmed","Mir Illias Hossain",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Dainik Bir Darpan","Columnist/Commentator,Editor","Politics","Print","Bangladesh","Jhenaidah",,,"Jhenaidah",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2013","Confirmed","Mirza Iqbal Hussain",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","News Network International","Photographer","Crime,Human Rights,Politics","Internet","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Misri Khan",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Ausaf and Mashriq","Print Reporter","Culture,Politics,War","Print","Pakistan","Hangu",,,"Hangu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2009","Confirmed","Mohammad Imran",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Express TV","Camera Operator","War","Television","Pakistan","Dera Ismail Khan",,,"Dera Ismail Khan",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1996","Confirmed","Mohammad Quamruzzaman",,"Bangladesh",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Neel Sagar","Print Reporter","Politics","Print","Bangladesh","Nilphamari",,,"Nilphamari",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"1994","Confirmed","Mohammad Samdani Warsi",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Parcham",,,"Print","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Mohammed Ibrahim",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Express TV and Daily Express","Broadcast Reporter","Politics","Television","Pakistan","Khar",,,"Khar",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Mohammed Muslimuddin",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Asomiya Pratidin","Print Reporter","Crime","Print","India","Barpukhuri",,,"Barpukhuri",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1994","Confirmed","Mohammed Salahuddin",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Takbeer","Editor","Politics","Print","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2001","Confirmed","Moolchand Yadav",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/moolchand_yadav_india_2001.jpg","","Journalist",,"Murder","Killed","Freelance","Freelance","Print Reporter","Business,Corruption","Print","India","Jhansi",,,"Jhansi",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
