,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
31,2004,Confirmed,Dekendra Raj Thapa,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Nepal,Broadcast Reporter,"Human Rights,Politics",Radio,Nepal,Dailekh,,,Dailekh,,Local,Political Group,Confirmed,,,Partial Impunity,No,Yes,No,,,,,,,,,,"In August 2004, rebels in midwestern Nepal’s Dailekh District claimed to have killed Dekendra Raj Thapa, a journalist for state-run Radio Nepal and head of a local drinking water project. Local sources told CPJ that Thapa’s killing was connected to his work as a journalist.<br>After the slaying, local rebel commanders told Thapa’s family that they intended to kill 10 other journalists in neighboring districts, according to local news reports.<br>Members of the Communist Party of Nepal (Maoist) abducted Thapa on June 26, and a rebel commander said on August 16 that they had executed him on August 11, according to local news reports.<br>Maoist rebels posted leaflets in Thapa’s hometown in Dailekh on August 17 “charging” him with 10 counts of crimes against what the rebels refer to as their “people’s regime.” Among other accusations, the rebels accused Thapa of spying for state security forces while using his profession as a cover.<br>Thapa belonged to the Federation of Nepalese Journalists (FNJ) and was an adviser to the local branch of Human Rights and Peace Society, a Nepalese human rights group. A delegation from FNJ met with Maoists in Dailekh to make appeals on Thapa’s behalf before the rebels said they killed him.<br>Journalists took to the streets of the capital, Kathmandu, on August 18 to protest Thapa’s killing, according to local news reports. Local journalists said that his killing and the subsequent death threats were intended to silence the press in the Maoist-controlled midwestern districts of Nepal.<br>In a rare response to journalists’ outrage, Maoist spokesman Krishna Bahadur Mahara wrote a letter to FNJ in September in which he called the murder a breach of policy, promised to investigate the killing and to respect press freedom, and stated that the party had conducted “self-criticism” on the matter.<br>In January 2013, police arrested five suspects in connection with the killing. In December 2014, a local court convicted them all and sentenced them to two years in prison for the abduction and murder, Agence France-Presse reported. Rights activists and the family slammed the sentence as too lenient; four other former Maoists accused in the murder case were on the run, the report said.<br>On December 15, 2020, police arrested Hari Lal Pun, a Maoist, according to the local press freedom organization Freedom Forum. Pun had previously been arrested and convicted for his involvement in the killing, but he had fled before completing the last four months of his term, according to that report.<br>In March 2020, police arrested Bam Bahadur Khadka, one of the four who was on the run at the time of the 2013 sentencing, according to the Freedom Forum.","Dailekh, Nepal",28.885064550000003,81.69971652575865,28.885064550000003,81.69971652575865
32,2003,Confirmed,Dhan Bahadur Rokka Magar,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Nepal,Broadcast Reporter,,Radio,Nepal,Jaluki,,,Jaluki,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Rokka Magar, a newsreader for the Kham Magar­language service of RadioNepal, was abducted by Maoist rebels on August 1, 2002, while travelingby bus to the town of Surkhet, where he worked. Rebels intercepted thebus near Jaluki, a Maoist-controlled village near the borders ofWestern Rolpa and Pyuthan districts, and kidnapped several passengers,including Rokka Magar and a representative from the British charityGurkha Welfare Trust.<br>It was not clear why the Maoists targeted certain passengers, butrebels generally view journalists working for state-run Radio Nepal asgovernment agents.<br>In October 2004, rebels informed Rokka Magar’s wife, Dil Kumari, thathe had been taken to Khawang, a forested area between Rukum and Rolpain midwestern Nepal, and killed in January 2003 on suspicion of spyingfor the government, according to local news reports.<br>The news was first reported in the Nepalese media in March 2005. RokkaMagar had been on CPJ’s missing list, but his case was reclassifiedbased on the new reports. The journalist’s body has not been found.","Jaluki, Nepal",25.6483972,93.6689432,25.6483972,93.6689432
33,2005,Confirmed,Dharmeratnam Sivaram,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,TamilNet and Daily Mirror,Columnist/Commentator,"Politics,War","Print,Internet",Sri Lanka,Colombo,,,Colombo,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"Sivaram was abducted on the night of April 28 and found dead the next morning from gunshot wounds to the head.<br>  Four unidentified men forced Sivaram into a jeep as he left a restaurant directly across from the Bambalapitya police station in the capital, according to witness accounts. Police told The Associated Press that they received an anonymous call early the next morning giving the location of Sivaram’s body in Talangama, several miles outside of Colombo. The TamilNet news Web site reported that his body was found in a high-security area behind a parliament building.<br>  A founding member and contributor to TamilNet and a military and political columnist for the English language Daily Mirror, Sivaram wrote sympathetically about the rebel group the Liberation Tigers of Tamil Eelam (LTTE). Police searched his house twice last year looking for weapons but did not find anything.<br>  The LTTE split into two warring factions in 2004 after a rebel leader known as Colonel Karuna broke away to form his own rival army in eastern Sri Lanka. A cycle of violence has escalated from the east throughout the country, with the warring Tamil factions going on killing sprees that target each other’s alleged supporters, including journalists.<br>  A pro-LTTE Tamil lawmaker, Amirthanathan Adaikkalanathan, told The Associated Press that Sivaram’s last article for the Tamil-language daily Virekasari criticized the rebel leader Karuna. Sivaram had received death threats in recent weeks, according to exiled Tamil journalists.","Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
34,1993,Confirmed,Dinesh Pathak,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Sandesh,Editor,"Corruption,Politics",Print,India,Baroda,,,Baroda,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"Pathak, a resident editor of Sandesh newspaper in Baroda, was stabbed to death by a group of assailants while entering the newspaper’s office. About six months earlier, during the November Navratri festival in Gujarat, Raju Risaldar, chief of Shiv Sena, a Hindu nationalist political organization, publicly threatened to kill Pathak. Pathak had written articles criticizing the Hindu nationalist party. After Pathak’s murder, Risaldar was killed during a scuffle with police.","Baroda, India",22.2973142,73.1942567,22.2973142,73.1942567
35,2012,Confirmed,Dwijamani Singh,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Prime News,"Broadcast Reporter,Camera Operator",Politics,Television,India,Imphal,,,Imphal,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"Singh was shot dead by police while he was covering a protest in Imphal, the capital of Manipur state. The cameraman, 36, worked for the news division of the satellite-distributed Prime News channel that covers northeast India. News reports initially identified Singh using different spellings of his name.<br>Prime News reported that Singh was shot in the chest and died at a local hospital. Police said the journalist was shot by accident while they were trying to disperse protesters with live ammunition, according to news reports. Five police officers were suspended, the reports said.<br>Protesters gathered in Imphal to demonstrate against the reported December 18 public sexual assault of Momoko, a local actress, by members of a separatist group, according to news reports. The protest was also part of mass demonstrations against the sexual assault of women after the December 16 gang rape of a 23-year-old woman on a bus in Delhi.<br>In December 2012, the All Manipur Working Journalists’ Union and the state government signed a memorandum of understanding in connection with the death of Singh, according to news accounts. The memorandum called for the immediate suspension of the police officers allegedly involved in the shooting, pending investigation; for financial assistance to be provided to the cameraman’s family; and for the creation of media policies to address the welfare of journalists, including those reporting in conflict situations.<br>That same week, the state government suspended officers ASI K Romendro Singh and Kh Naba-kumar Singh, pending a departmental investigation, reports said.<br>The state government announced Rs. 500,000 (US $7,400) compensation to the family, according to reports.<br>According to the journalist union, there were no further proceedings in the case against the police officers. CPJ called the union on several occasions in spring 2016 to seek comment but the calls were not answered. L.M.Khoute, the ADGP, Law and Order did not respond to CPJ’s request for comment in spring 2016.<br>Local journalists told Al-Jazeera that Singh was survived by two children.","Imphal, India",24.7991162,93.9364419,24.7991162,93.9364419
36,2010,Confirmed,Ejaz Raisani,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Samaa TV,Camera Operator,Politics,Television,Pakistan,Quetta,,,Quetta,,Local,"Criminal Group, Mob Violence",Confirmed,,,,,,,,,,,,,,,,"Raisani, a cameraman, died in a military hospital of gunshotwounds he suffered three days earlier while covering a rally that turnedviolent in Quetta, according to local and international news reports.<br>A suicide bomber detonated explosives at a Shiademonstration, prompting gunfire and other violence that killed more than 70people and left 200 others injured, including several other journalists, newsreports said. The Taliban and Lashkar-e-Jhangvi each claimed responsibility forthe bombing, one in a series of recent assaults on Shia gatherings, local newsreports said. Some news reports linked the violence that followed the Quettabombing to the surviving protesters.<br>Mohammad Sarwar, a driver working for Aaj TV, was alsokilled in the violence. Six journalists were among the wounded. Raisani wasmarried with two children. Police took 20 suspects into custody and Baluchistan ChiefMinister Nawab Aslam Raisani formed a judicial tribunal to investigate theattack, The Express Tribune reported. As of February 2013, no suspect had beenconvicted of a crime, according to Zahid Hussain, director of news at Samaa TV.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
37,2010,Confirmed,Ejazul Haq,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,City-42 TV,"Broadcast Reporter,Technician",War,Television,Pakistan,Lahore,,,Lahore,,Local,,Confirmed,,,,,,,,,,,,,,,,"Haq, 42, a technician for the local Lahore cable stationCity-42 TV, was killed while working at the scene of an armed attack on aMuslim minority Ahmadi mosque, according to news accounts and CPJ interviews.<br>Haq was reporting live via cellphone from the scene, whichwas in his neighborhood. Colleagues at City-42 TV said the shots that struckhim could be heard on the air. It was not clear who fired the fatal shotsduring the fighting, in which Sunni Muslim gunmen and suicide bombers attackedthe mosque while police and military groups engaged them in close fire. Pakistani media reports said Haq was survived by a wife, adaughter, and a son. An eight-year veteran of the profession, he had worked forCity-42 for the previous three years, according to the Pakistan Federal Unionof Journalists.<br>The mosque was one of two Ahmadi mosques that came underattack that day. More than 90 people were killed in the sieges, which lastedfor several hours. The events were covered live by many of Pakistan’s newschannels.","Lahore, Pakistan",31.5656822,74.3141829,31.5656822,74.3141829
38,2015,Confirmed,Faisal Arefin Dipan,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Jagriti Prokashoni,Publisher/Owner,,Print,Bangladesh,Dhaka ,,,Dhaka ,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"On October 31, 2015, a group of men stabbed Faisal Arefin Dipan, a publisher, to death at the offices of Jagriti Prokashoniin the capital, Dhaka, and then fled the scene, according to news reports. An autopsy report showed the publisher’s body had multiple stab wounds, according to reports.<br>The publishing house, in the Shahbagh area of the capital, released short stories, poetry, novels, and essays on progressive topics. Dipan’s company had published Biswasher Virus (The Virus of Faith), in 2014 by Avijit Roy, a blogger who received death threats after the book was published, according to reports. Roy was hacked to death in Dhaka in February 2015, CPJ research shows.<br>Dipan’s father, Abul Kashem Fazlul Haq, told journalists he suspected his son was targeted because he published Roy’s books, news reports said. Friends of the publisher said Dipan had filed a police complaint after death threats appeared on Facebook, The Associated Press reported. CPJ was unable to determine when the threats were made and whether they were posted to his personal or professional Facebook page.<br>Al-Qaeda in the Indian Subcontinent claimed responsibility on social media for the attack on Dipan and a separate attack the same day in which a publisher in Dhaka was severely injured, according to the SITE Intelligence Group, which monitors terrorist activity worldwide. One of the statements, which has been viewed by CPJ and which was posted on October 31, 2015, alongside a tweet by someone claiming to be part of Al-Qaeda in the Indian Subcontinent, said Dipan and the other publisher who was attacked were “worse than the writers of such books, as they helped propagate these books and paid the blasphemers handsome amounts of money for writing them. These secular and atheist publishers waged war against the religion of Islam in every possible ways. One of them also published books in support of homosexuality.”Bangladeshi police said they were investigating the credibility of claims that Al-Qaeda in the Indian Subcontinent is responsible for the killing.<br>On February 10, 2021, a Bangladesh Court sentenced eight people to death for their involvement in Dipan’s killing, according to news reports.<br>The court sentenced Syed Mohammad Ziaul Haque, Akram Hossain, Abu Siddique Sohel, Mozammel Hossain, Moinul Hasan Shamim, Md Abdus Sabur, Khairul Islam, and Md Sheikh Abdullah to death, and ruled that they had killed Dipan for publishing Roy’s book, those reports said.<br>Four of the convicted, Haque, Akram Hossain, Mozammel Hossain, and Sohel were also separately convicted and sentenced to death for their role in Roy’s killing, according to news reports. Haque and Akram are in hiding and were sentenced in absentia, while the others are in custody, according to the reports.<br>The defendants were all members of the banned militant outfit Ansar al-Islam, which is affiliated with Al-Qaeda, according to Al-Jazeera.","Dhaka , Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
39,2011,Confirmed,Faisal Qureshi,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,The London Post,"Editor,Internet Reporter",Politics,Internet,Pakistan,Lahore,,,Lahore,,Local,Political Group,Confirmed,,,Complete Impunity,Yes,No,Yes,,,,,,,,,,"The body of Qureshi, 31, an editor for the political newswebsite The London Post, was discovered about 2 a.m. by his brother Zahid afterfamily members found blood stains outside the journalist’s house, the Pakistanidaily The Express Tribune reported. Police reports said Qureshi’s throat hadbeen cut and described his body as showing signs of torture, The ExpressTribune said.<br>Another brother, Shahid, who lives in London, told CPJ thatthe killers had taken the journalist’s laptop and telephone. Shahid Qureshi,who also wrote for The London Post website, told CPJ that he and his brotherhad received death threats from men who claimed they were from the MuttahidaQaumi Movement, or MQM. The London Post, which was widely recognized asanti-MQM, had run a series of critical stories on the party’s exiled leader,Altaf Hussain. Police arrested Faisal Hameed, a childhood friend of Qureshi,in December 2011, alleging monetary motives, according to local news reports.<br>As of February 2013, Hameed remained in custody pending trial. An investigativedocumentary produced by Samaa TV raised numerous questions about the policeinvestigation and cast doubt on the allegations against Hameed.","Lahore, Pakistan",31.5656822,74.3141829,31.5656822,74.3141829
40,2003,Confirmed,Fazal Wahab,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,freelance,"Columnist/Commentator,Print Reporter",Politics,Print,Pakistan,Mingora,,,Mingora,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Wahab, a freelance writer, was shot by unidentified gunmenas he sat in a roadside shop in Manglawar Bazaar, near the resort town ofMingora in northwestern Pakistan. The shopkeeper and his young assistant alsodied in the attack.<br>Wahab, who lived in Mingora, had published several books inUrdu and Pashto that were critical of local religious leaders and Islamicmilitant organizations. Among Wahab’s work was the book, Mullah Ka Kirdar (TheMullah’s Role), which analyzed the Islamic clergy’s involvement in politics. Hehad also completed a manuscript about Osama bin Laden and the Taliban. Local journalists and human rights activists told CPJ thatWahab had received threats for years in connection with his journalism. Theindependent Human Rights Commission of Pakistan found that police took noevident action to apprehend the killers.","Mingora, Pakistan",34.7681309,72.3684619,34.7681309,72.3684619
41,1997,Confirmed,G. Raja Sekhar,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Technician,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Raja Sekhar, an assistant for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TVcameraman; and Srinivas Rao and S. Krishna, assistant cameramen for E-TV, were killed in a car bomb explosionwhile covering the making of a film.<br>As they were leaving the RamaNaidu Studios in Hyderabad, their vehicle caught the brunt of themassive blast, which police said was caused by a remote control carbomb parked by the studio entrance. The television crew’s driver, P.<br>Chandra Sekhar Reddy, was also killed. At least 17 others died and morethan 30 were injured. The attack is believed to have been motivated bypolitical rivalry targeted at the film’s producer, Paritala Ravi, aformer guerrilla leader pardoned in return for his surrender. Ravi isalso a state legislator and member of the governing Telugu Desam party.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
42,2017,Confirmed,Gauri Lankesh,,India,,,Female,https://cpj-photos.s3.amazonaws.com/AFP-Lankesh-1-2017-09-07-1504816619926.jpg,(AFP/Punit Paranjpe),Journalist,Killed,Murder,Killed,Staff,Gauri Lankesh Patrike,"Publisher/Owner,Columnist/Commentator","Corruption,Human Rights,Politics","Print,Internet",India,Bangalore,,Karnataka,Bangalore,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"At least three unidentified assailants fired at Gauri Lankesh outside her home in Bangalore as she returned home from work on September 5, 2017, according to reports that cited witnesses. She was shot in the head and chest and died immediately, according to a report in the Hindustan Times.<br>Lankesh published and edited Gauri Lankesh Patrike, a Kannada-language weekly tabloid known for its criticism of right-wing extremism and the establishment, according to media reports. The newspaper covered issues including communal violence and the caste system.<br>Lankesh was part of a government panel involved in shaping a Maoist surrender to state police, according to reports. According to the BBC, the journalist was sympathetic to the Maoist rebels and was involved in the reintegration of former rebels.<br>K. Siddaramiah, the chief minister of Karnataka state, ordered a 21-member special investigation team from the police to investigate Lankesh’s killing, according to the Indian Express. Inderjit Lankesh, the journalist’s brother, said in an interview with NDTV that India’s national agency, the Central Bureau of Investigation, should examine her case. He said that Gauri Lankesh received a lot of hate mail from those who sympathized with the Maoist rebels and said that the investigation should investigate whether Hindu extremists or Maoist rebels are behind the killing, according to India Today. B.T. Venkatesh, a lawyer who represented Gauri Lankesh, alleged in an interview with the media watchdog The Hoot that her murder “was a pre-planned and sinister attack by Hindu terror units.”The special investigation team filed its initial charge sheet in May 2018, and filed an additional 9,325-page sheet in November 2018, accusing 18 people in connection with the killing, according to a report by NDTV. On January 10, 2020, police made their seventeenth arrest, according to news reports. One suspect remained in hiding as of January 11, according to NDTV.  Police allege that the killers were members of a criminal syndicate with links to the right-wing Hindu organization Sanatan Sanstha and its offshoot Hindu Janjagruti Samiti, that the suspects were also behind the killings of scholars Narendra Dabholkar and M. M. Kalburgi, and that the syndicate targeted people because of their ideology, according to news reports,A Sanatan Sanstha representative condemned Lankesh’s killing, according to reports. The group said that the journalist was a Maoist sympathizer who it had nothing to do with, according to reports. Lankesh started her career in the 1980s, working as a reporter for English-language dailies including Mid-Day and The Times of India, and the weekly magazine, Sunday. In 2000, after the death of their father, P. Lankesh, Gauri and Indrajit ran Lankesh Patrike, the Kannada-language tabloid their father founded in 1980, according to a profile in Mint. In 2004, she started Gauri Lankesh Patrike.<br>Lankesh said in an interview with the website NewsLaundry in November 2016, that she had been criticized for her reporting and work. Lankesh said, “Unfortunately, today anybody talking in support of human rights and against fake encounters is branded a Maoist supporter … Along with that, my criticism of Hindutva politics and the caste system, which is part and parcel of what is considered ‘Hindu dharma’ [Hindu duty] makes my critics brand me as a ‘Hindu hater.’”Lankesh had previously faced legal action over her critical reporting. At the time of her death, she was appealing a six-month prison sentence and fine of 10,000 Indian rupee (US$155) for criminal defamation. The November 2016 conviction was over a 2008 article, according to a report on The Wire. A magistrate granted Lankesh bail and allowed her to appeal the sentence in a higher court, according to a report in The Indian Express. Her lawyer said he didn’t think the killing was related to a defamation case, according to reports.","Bangalore, India",12.9791198,77.5912997,12.9791198,77.5912997
43,2005,Confirmed,Gautam Das,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Samakal,Print Reporter,"Corruption,Crime,Politics",Print,Bangladesh,Faridpur,,,Faridpur,,Local,Government Officials,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"Das, a reporter for the Dhaka-based daily Samakal, was found strangled in his bureau office in the town of Faridpur, 40 miles (64 kilometers) west of the Bangladeshi capital, according to news reports.<br>  A colleague called police after repeated telephone calls to Das went unanswered and the door of the Samakal bureau in Faridpur remained locked at midday, according to the local advocacy group Media Watch. At 2 p.m., police broke down the door of the office to find Das’ body inside, with fractures to the legs and hand and nylon rope around his neck, according to a statement by the group.<br>  Although colleagues were not aware of any specific threat against the reporter, they said that Das had written about sensitive topics such as the activities of Islamist militant groups, according to Media Watch. Sumi Khan, a reporter for Samakal, said that Das was known for his reporting on crime and corruption, including coverage of illegal activities by members of the ruling Bangladesh Nationalist Party. The Associated Press reported that Das had recently written about local government officials accused of taking bribes in exchange for construction contract awards.<br>  Two days later, journalist groups around the country protested the killing and criticized the government for not doing more to protect the press.<br>  On November 19, police arrested Tamjid Hossain Babu, the son of a local MP, in connection with Das’ murder, according to The Daily Star. Local journalists said police arrested three other suspects.<br>In 2006, Das’ murder case was transferred from the local district court to the Dhaka Speedy Tribunal Court 1 for expedited judgment after pressure from local journalists. One defendant challenged the legality of this transfer, which resulted in further delays, according to reports.<br>On June 27, 2013, a court sentenced nine individuals to life in prison in connection with Das’ murder. Eight of the nine convicted were junior politicians belonging to the opposition Bangladesh Nationalist Party, including Babu, according to news reports.<br>At the time, many local journalists hailed the verdict as a landmark, the first time a Bangladeshi court has successfully prosecuted a murder of a journalist.<br>On January 30, 2019, the High Court upheld the sentences of five of those who were convicted and acquitted four others, according to news reports. The Daily Star reported that the court upheld the life sentences of Asif Imran, Siddiqur Rahman Miah, Asad Bin Kadir, Abu Taher Mohammad Mortuza Ahsan and Tamzid Hossain Babu.","Faridpur, Bangladesh",23.6040182,89.8415542,23.6040182,89.8415542
44,1994,Confirmed,Ghulam Muhammad Lone,,India,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelancer,Print Reporter,"Human Rights,Politics",Print,India,Kangan,,,Kangan,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Lone, a newspaper salesman and freelance journalist who contributed to several publications, including the English-language Greater Kashmir, was killed by a group of masked gunmen who also fatally shot his seven-year-old son in their home in Kangan, Kashmir. Lone had reportedly received death threats from a security agent for his coverage of troop movements in Kashmir. Srinagar police attributed the killing to Kashmiri separatists.","Kangan, India",34.31238135,75.09708441208758,34.31238135,75.09708441208758
45,2014,Confirmed,Ghulam Rasool,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Online International News Network,Print Reporter,"Crime,Culture,Politics",Print,Pakistan,Quetta,,,Quetta,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Two unidentified gunmen stormed the offices of the independent news agency Online International News Network in Quetta, the capital of Baluchistan province, killing its reporter-in-training, Ghulam Rasool, also known as Abdul Rasul, and the bureau chief Irshad Mastoi. A network employee, accountant Muhammad Younus, was also killed, according to news reports.<br>All three were shot several times, according to police. Rasool and Younus were killed immediately, and Mastoi was rushed to the hospital where he was pronounced dead, reports said. The assailants fled the scene, according to reports.<br>Rasool, who was in his early 20s, was a student in his final year at the media and journalism department of the University of Balochistan Quetta, according to news accounts. He had joined the agency in May 2014 and wrote news reports, but was not assigned to any particular beat. Rasool often accompanied staff journalists on their assignments, his colleagues told CPJ. Prior to working at the agency, Rasool interned with Geo TV, the colleagues said.<br>Baluchistan–Pakistan’s largest province by area and smallest by population–is mired in an insurgency and sectarian strife. Its residents face criminal activity, daily disappearances, and targeted killings, and international journalists are routinely denied access to the province. Local journalists in Baluchistan face pressure from a number of sources: pro-Taliban groups and Pakistani security forces and intelligence agencies, as well as separatists and state-sponsored anti-separatist militant groups, according to CPJ research.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
46,2010,Confirmed,Ghulam Rasool Birhamani,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Daily Sindhu Hyderabad,Print Reporter,Culture,Print,Pakistan,Wahi Pandhi,,,Wahi Pandhi,,Local,Mob Violence,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"The body of Birhamani, 40, a reporter for the Daily SindhuHyderabad, was found outside his hometown of Wahi Pandhi, Sindh province, onMay 10, a day after he was reported kidnapped. The Pakistan Federal Union ofJournalists and the media support group Pakistan Press Foundation reported thathis body was badly scarred and showed evidence of torture.<br>Birhamani’s family believed he was killed because of hisreporting on ethnic issues in Sindh province, the journalists union said. Acolleague told the newspaper Dawn that Birhamani’s story on the marriage of a12-year-old girl to a 22-year-old man might have been the specific trigger forthe attack. Birhamani had received threats from members of the Lashari tribejust days before he was seized, the press foundation said.<br>Hundreds of journalists turned out for a march to protesthis killing. Dawn quoted some of the demonstrators as saying that police werereluctant to investigate because of political sensitivities. The journalistsunion said Birhamani had worked for many years for various Sindhi-languagedailies. He left behind a wife, two sons, and a daughter.","Wahi Pandhi, Pakistan",pass,pass,pass,pass
47,1996,Confirmed,Ghulam Rasool Sheikh,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Rehnuma-e-Kashmir and Saffron Times,Editor,Human Rights,Print,India,"Pampore, Kashmir",,,"Pampore, Kashmir",,Local,Paramilitary Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Sheikh, editor of the Urdu-language daily Rehnuma-e-Kashmir and the English-language weekly Saffron Times, was found dead on April 10 floating in Kashmir’s Jhelum River. He had written about an increase in killings and arson incidents his hometown, Pampore. Family members say a militia group backed by Indian state security forces had kidnapped him in March.","Pampore, Kashmir, India",34.023026900000005,74.99530949940382,34.023026900000005,74.99530949940382
48,2003,Confirmed,Gyanendra Khadka,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Rastriya Samachar Samiti,Print Reporter,,Print,Nepal,"Jyamire, Sindhupalchowk",,,"Jyamire, Sindhupalchowk",,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Khadka, 35, a journalist with the state-owned news agency Rastriya Samachar Samiti (RSS), was brutally murdered in Nepal’s eastern Sindhupalchowk District by a group of suspected Maoist rebels.<br>According to RSS, the rebels took Khadka away from a school where he taught part time and led him to a nearby field, where they tied his hands to a pole and slit his throat. No motive is known for his murder, but during Nepal’s 7-year-old civil war, both rebels and government security forces have targeted journalists. Local journalists believe that the rebels killed Khadka because he was a journalist.<br>Khadka is the first journalist to be killed in Nepal since the rebels broke a cease-fire agreement with government forces in August. His murder came amid intensified violence in the country, as well as increased attacks on journalists.<br>Khadka’s murder has outraged the journalistic community in Nepal. A group of at least 30 journalists gathered to peacefully protest the killing on September 11, but police dispersed them and detained them briefly for defying a ban on demonstrations.","Jyamire, Sindhupalchowk, Nepal",27.8472719,85.6104209,27.8472719,85.6104209
49,2002,Confirmed,Harunur Rashid,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Dainik Purbanchal,Print Reporter,"Corruption,Crime",Print,Bangladesh,Khulna,,,Khulna,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Rashid, a reporter for the Bengali-language newspaper Dainik Purbanchal,was ambushed by gunmen while he was riding his motorcycle to work inthe southwestern city of Khulna, according to Bangladeshi andinternational news reports. Dainik Purbanchal, which is published in Khulna, is a well-regarded regional daily.<br>Three unidentified young men brought Rashid to a hospital, told doctorshe had been injured in a car accident, and then disappeared. A doctorat the hospital told the Dhaka-based newspaper The Independent that Rashid had suffered a fatal bullet wound to his chest.<br>Rashid, also known as Rashid Khukon, was a crime reporter who hadwritten several stories on official corruption and links betweencriminal syndicates and outlawed Maoist guerrilla groups, including thePurbo Bangla Communist Party (PBCP). Rashid’s relatives told reportersthat he was on a PBCP hit list. Though the PBCP issued a statementdenying responsibility for Rashid’s murder, some colleagues said asplinter faction of the group may be behind the killing.<br>The reporter had received anonymous death threats throughout his careerand, for the last year, had been provided police protection. However,he did not always travel with security guards.<br>Local journalists believe Rashid was killed for his reporting. AmiyaKanti Pal, a former colleague, told Reuters that, “Rashid was a bravereporter. We suspect that the criminals he wrote about might be behindhis murder.”          The Criminal Investigation Department, a federal law enforcement body, is investigating the case.","Khulna, Bangladesh",22.808368899999998,89.44268870147594,22.808368899999998,89.44268870147594
